episode - 0/1000, reward_per_episode = 0
episode - 165/1000, reward_per_episode = 1811.7857810115586
episode - 166/1000, reward_per_episode = 676.7567166241854
episode - 167/1000, reward_per_episode = 689.3143467606462
episode - 168/1000, reward_per_episode = 1910.8170753331774
episode - 169/1000, reward_per_episode = 1913.1909848289258
episode - 170/1000, reward_per_episode = 1280.8106883882724
episode - 171/1000, reward_per_episode = 1253.7370923499939
episode - 172/1000, reward_per_episode = 1437.2611482325751
episode - 173/1000, reward_per_episode = 1672.462120245875
episode - 174/1000, reward_per_episode = 1672.462120245875
episode - 175/1000, reward_per_episode = 1672.462120245875
episode - 176/1000, reward_per_episode = 1672.462120245875
episode - 177/1000, reward_per_episode = -123.33144457099075
episode - 178/1000, reward_per_episode = 2046.8777873039826
episode - 179/1000, reward_per_episode = 3113.6260148404635
episode - 180/1000, reward_per_episode = 600.4512804678369
episode - 181/1000, reward_per_episode = 1079.8989873223331
episode - 182/1000, reward_per_episode = 970.9998366542558
episode - 183/1000, reward_per_episode = 3394.592538865024
episode - 184/1000, reward_per_episode = -329.4456161793184
episode - 185/1000, reward_per_episode = 3962.6830420513606
episode - 186/1000, reward_per_episode = 824.9669939078369
episode - 187/1000, reward_per_episode = 709.9972325411748
episode - 188/1000, reward_per_episode = -536.8278540362387
episode - 189/1000, reward_per_episode = 2002.3277856534373
episode - 190/1000, reward_per_episode = 2083.0032015759184
episode - 191/1000, reward_per_episode = 1796.331383680614
episode - 192/1000, reward_per_episode = 1811.9208001260063
episode - 193/1000, reward_per_episode = 1672.462120245875
episode - 194/1000, reward_per_episode = 2130.239188732209
episode - 195/1000, reward_per_episode = 61.40153627499785
episode - 196/1000, reward_per_episode = 543.4782100089546
episode - 197/1000, reward_per_episode = 898.4776310850236
episode - 198/1000, reward_per_episode = 2484.92424049175
episode - 199/1000, reward_per_episode = 1672.462120245875
episode - 200/1000, reward_per_episode = 1672.462120245875
episode - 201/1000, reward_per_episode = 1672.462120245875
episode - 202/1000, reward_per_episode = 2124.8484809834995
episode - 203/1000, reward_per_episode = 1672.462120245875
episode - 204/1000, reward_per_episode = 2286.940399814747
episode - 205/1000, reward_per_episode = 1672.462120245875
