episode - 258/300, epsilon = 0.029665836754414362
episode - 259/300, epsilon = 0.029399909705551664
episode - 260/300, epsilon = 0.02913636644905937
episode - 261/300, epsilon = 0.028788646656255128
episode - 262/300, epsilon = 0.02853058281300588
episode - 263/300, epsilon = 0.028190092575087318
episode - 264/300, epsilon = 0.02793739422082486
episode - 265/300, epsilon = 0.027686961075804862
episode - 266/300, epsilon = 0.02743877283450169
episode - 267/300, epsilon = 0.02719280937341013
episode - 268/300, epsilon = 0.026841416132951355
episode - 269/300, epsilon = 0.02660080742743526
episode - 270/300, epsilon = 0.02636235555853626
episode - 271/300, epsilon = 0.026126041192190013
episode - 272/300, epsilon = 0.025891845167644353
episode - 273/300, epsilon = 0.025659748495905712
episode - 274/300, epsilon = 0.0253788983232154
episode - 275/300, epsilon = 0.025151399750013185
episode - 276/300, epsilon = 0.0249259404931024
episode - 277/300, epsilon = 0.024702502271880755
episode - 278/300, epsilon = 0.02448106696961483
episode - 279/300, epsilon = 0.024261616631971107
episode - 280/300, epsilon = 0.024044133465560225
episode - 281/300, epsilon = 0.023828599836494265
episode - 282/300, epsilon = 0.02361499826895695
episode - 283/300, epsilon = 0.023403311443786677
episode - 284/300, epsilon = 0.02319352219707228
episode - 285/300, epsilon = 0.022985613518761324
episode - 286/300, epsilon = 0.02277956855128091
episode - 287/300, epsilon = 0.022575370588170832
episode - 288/300, epsilon = 0.02228364520898687
episode - 289/300, epsilon = 0.022083892744312248
episode - 290/300, epsilon = 0.02188593087748503
episode - 291/300, epsilon = 0.02151683170868748
episode - 292/300, epsilon = 0.02132395302454535
episode - 293/300, epsilon = 0.021132803321105405
episode - 294/300, epsilon = 0.020943367099639607
episode - 295/300, epsilon = 0.020755629000351824
episode - 296/300, epsilon = 0.020569573801132425
episode - 297/300, epsilon = 0.020385186416324048
episode - 298/300, epsilon = 0.02004139681906325
episode - 299/300, epsilon = 0.019861744057022526
