episode - 247/10000, loss = 4631.61083984375
episode - 248/10000, loss = 901.2025146484375
episode - 249/10000, loss = 85.13429260253906
episode - 250/10000, loss = 3252.481689453125
episode - 251/10000, loss = 3978.121337890625
episode - 252/10000, loss = 557.648681640625
episode - 253/10000, loss = 1593.3203125
episode - 254/10000, loss = 927.5203857421875
episode - 255/10000, loss = 2692.284912109375
episode - 256/10000, loss = 4239.568359375
episode - 257/10000, loss = 132.13307189941406
episode - 258/10000, loss = 36374.24609375
episode - 259/10000, loss = 349.96771240234375
episode - 260/10000, loss = 597.4823608398438
episode - 261/10000, loss = 458.7337951660156
episode - 262/10000, loss = 2646.373779296875
episode - 263/10000, loss = 101.16448974609375
episode - 264/10000, loss = 8085.14501953125
episode - 265/10000, loss = 2829.255126953125
episode - 266/10000, loss = 2394.085205078125
episode - 267/10000, loss = 14270.4638671875
episode - 268/10000, loss = 4757.13037109375
episode - 269/10000, loss = 19.924118041992188
episode - 270/10000, loss = 23917.73828125
episode - 271/10000, loss = 24.95370101928711
episode - 272/10000, loss = 1876.7059326171875
episode - 273/10000, loss = 2103.587646484375
episode - 274/10000, loss = 735.4453125
episode - 275/10000, loss = 495.3327941894531
episode - 276/10000, loss = 24490.875
episode - 277/10000, loss = 573.0857543945312
episode - 278/10000, loss = 11999.1572265625
episode - 279/10000, loss = 3574.229736328125
episode - 280/10000, loss = 3360.51220703125
episode - 281/10000, loss = 3151.75341796875
episode - 282/10000, loss = 44569.15234375
episode - 283/10000, loss = 1066.2322998046875
episode - 284/10000, loss = 212.8910369873047
episode - 285/10000, loss = 12709.16015625
episode - 286/10000, loss = 179.18043518066406
episode - 287/10000, loss = 87.04327392578125
episode - 288/10000, loss = 7896.228515625
episode - 289/10000, loss = 5565.9326171875
episode - 290/10000, loss = 627.7836303710938
episode - 291/10000, loss = 35457.4765625
episode - 292/10000, loss = 88.60489654541016
episode - 293/10000, loss = 2317.718505859375
episode - 294/10000, loss = 2031.714111328125
episode - 295/10000, loss = 4170.16259765625
episode - 296/10000, loss = 638.5274047851562
episode - 297/10000, loss = 6238.7255859375
episode - 298/10000, loss = 1449.018798828125
episode - 299/10000, loss = 1308.81494140625
episode - 300/10000, loss = 726.4508056640625
episode - 301/10000, loss = 329.7686767578125
episode - 302/10000, loss = 4046.855224609375
episode - 303/10000, loss = 1427.4425048828125
episode - 304/10000, loss = 5816.83984375
episode - 305/10000, loss = 629.7081298828125
episode - 306/10000, loss = 27987.263671875
episode - 307/10000, loss = 1629.3006591796875
episode - 308/10000, loss = 407.52099609375
episode - 309/10000, loss = 941.3253784179688
episode - 310/10000, loss = 1035.03466796875
episode - 311/10000, loss = 587.9348754882812
episode - 312/10000, loss = 4541.837890625
episode - 313/10000, loss = 20.499950408935547
episode - 314/10000, loss = 30100.794921875
episode - 315/10000, loss = 2875.321533203125
episode - 316/10000, loss = 369.3472900390625
episode - 317/10000, loss = 6335.8369140625
episode - 318/10000, loss = 239.2880096435547
episode - 319/10000, loss = 237.3844757080078
episode - 320/10000, loss = 213.05543518066406
episode - 321/10000, loss = 1779.88232421875
episode - 322/10000, loss = 8445.4658203125
episode - 323/10000, loss = 880.2124633789062
episode - 324/10000, loss = 25942.642578125
episode - 325/10000, loss = 1391.306396484375
episode - 326/10000, loss = 2556.77978515625
episode - 327/10000, loss = 316.9963073730469
episode - 328/10000, loss = 14134.8916015625
episode - 329/10000, loss = 644.9287109375
episode - 330/10000, loss = 1.901392936706543
episode - 331/10000, loss = 657.8626708984375
episode - 332/10000, loss = 60.43946838378906
episode - 333/10000, loss = 603.0647583007812
episode - 334/10000, loss = 1522.7066650390625
episode - 335/10000, loss = 2441.930419921875
episode - 336/10000, loss = 303.593505859375
episode - 337/10000, loss = 647.8045043945312
episode - 338/10000, loss = 6867.3828125
episode - 339/10000, loss = 36341.20703125
episode - 340/10000, loss = 12.786168098449707
episode - 341/10000, loss = 29595.837890625
episode - 342/10000, loss = 0.6893463730812073
episode - 343/10000, loss = 1281.4173583984375
episode - 344/10000, loss = 8104.9677734375
episode - 345/10000, loss = 5471.130859375
episode - 346/10000, loss = 27.937231063842773
episode - 347/10000, loss = 5260.13818359375
episode - 348/10000, loss = 1323.548095703125
episode - 349/10000, loss = 32.27954864501953
episode - 350/10000, loss = 331.2496643066406
episode - 351/10000, loss = 4160.8642578125
episode - 352/10000, loss = 28590.0859375
episode - 353/10000, loss = 102299.125
episode - 354/10000, loss = 5123.63330078125
episode - 355/10000, loss = 7.038894176483154
episode - 356/10000, loss = 708.5641479492188
episode - 357/10000, loss = 162.25448608398438
episode - 358/10000, loss = 708.6436157226562
episode - 359/10000, loss = 3468.328125
episode - 360/10000, loss = 10407.7451171875
episode - 361/10000, loss = 966.9733276367188
episode - 362/10000, loss = 1.7931016683578491
episode - 363/10000, loss = 0.4291808307170868
episode - 364/10000, loss = 6330.41845703125
episode - 365/10000, loss = 182.63174438476562
episode - 366/10000, loss = 35.28468322753906
episode - 367/10000, loss = 45614.30078125
episode - 368/10000, loss = 1072.090576171875
episode - 369/10000, loss = 712.218994140625
episode - 370/10000, loss = 2141.36865234375
episode - 371/10000, loss = 482.7645263671875
episode - 372/10000, loss = 39.41065979003906
episode - 373/10000, loss = 343.197998046875
episode - 374/10000, loss = 5.452282905578613
episode - 375/10000, loss = 3261.390869140625
episode - 376/10000, loss = 6191.8955078125
episode - 377/10000, loss = 753.3892211914062
episode - 378/10000, loss = 384.28570556640625
episode - 379/10000, loss = 11691.3818359375
episode - 380/10000, loss = 0.9376009106636047
episode - 381/10000, loss = 2.6449317932128906
episode - 382/10000, loss = 1899.9425048828125
episode - 383/10000, loss = 301.57666015625
episode - 384/10000, loss = 3.873307228088379
episode - 385/10000, loss = 74.21000671386719
episode - 386/10000, loss = 5132.57568359375
episode - 387/10000, loss = 425.81781005859375
episode - 388/10000, loss = 2071.722900390625
episode - 389/10000, loss = 1232.7919921875
episode - 390/10000, loss = 48.37300491333008
episode - 391/10000, loss = 1.0885975360870361
episode - 392/10000, loss = 0.3598608672618866
episode - 393/10000, loss = 137.10459899902344
episode - 394/10000, loss = 21789.595703125
episode - 395/10000, loss = 15516.166015625
episode - 396/10000, loss = 884.3458862304688
episode - 397/10000, loss = 1319.9937744140625
