episode - 188/10000, epsilon = 0.05374729306999104
episode - 189/10000, epsilon = 0.05284086229908606
episode - 190/10000, epsilon = 0.05231482518507846
episode - 191/10000, epsilon = 0.05184587070425918
episode - 192/10000, epsilon = 0.05138111997073912
episode - 193/10000, epsilon = 0.05051459394636074
episode - 194/10000, epsilon = 0.05006177688935816
episode - 195/10000, epsilon = 0.04951384249760823
episode - 196/10000, epsilon = 0.048678807505852836
episode - 197/10000, epsilon = 0.047857855110039975
episode - 198/10000, epsilon = 0.047050747811728924
episode - 199/10000, epsilon = 0.04662898096200424
episode - 200/10000, epsilon = 0.04584259823004296
episode - 201/10000, epsilon = 0.045069477589347
episode - 202/10000, epsilon = 0.044665471012073056
episode - 203/10000, epsilon = 0.04391220224243315
episode - 204/10000, epsilon = 0.04338814438188925
episode - 205/10000, epsilon = 0.042870340742886835
episode - 206/10000, epsilon = 0.04248604741275525
episode - 207/10000, epsilon = 0.041769533919528715
episode - 208/10000, epsilon = 0.04127104713307846
episode - 209/10000, epsilon = 0.04086018891499955
episode - 210/10000, epsilon = 0.040493914754452874
episode - 211/10000, epsilon = 0.040130923906202244
episode - 212/10000, epsilon = 0.03977118693836088
episode - 213/10000, epsilon = 0.03910045869183505
episode - 214/10000, epsilon = 0.03874995890060464
episode - 215/10000, epsilon = 0.03813458792364205
episode - 216/10000, epsilon = 0.03775495353271029
episode - 217/10000, epsilon = 0.03711822841258988
episode - 218/10000, epsilon = 0.0364922414563568
episode - 219/10000, epsilon = 0.035948672965597
episode - 220/10000, epsilon = 0.03534241018494339
episode - 221/10000, epsilon = 0.03474637183064226
episode - 222/10000, epsilon = 0.034160385471039244
episode - 223/10000, epsilon = 0.03385416891050437
episode - 224/10000, epsilon = 0.03355069730090179
episode - 225/10000, epsilon = 0.0331834793941346
episode - 226/10000, epsilon = 0.03262385071163769
episode - 227/10000, epsilon = 0.032073659986461445
episode - 228/10000, epsilon = 0.0317861490081926
episode - 229/10000, epsilon = 0.031250085852191856
episode - 230/10000, epsilon = 0.03072306322850433
episode - 231/10000, epsilon = 0.03020492867146699
episode - 232/10000, epsilon = 0.029695532286701062
episode - 233/10000, epsilon = 0.02942933904459626
episode - 234/10000, epsilon = 0.0290781228525277
episode - 235/10000, epsilon = 0.02858772968464549
episode - 236/10000, epsilon = 0.028331466877981482
episode - 237/10000, epsilon = 0.027853665822407652
episode - 238/10000, epsilon = 0.02738392272760552
episode - 239/10000, epsilon = 0.026922101698664352
episode - 240/10000, epsilon = 0.026468069132497263
episode - 241/10000, epsilon = 0.02617837175733292
episode - 242/10000, epsilon = 0.025736881956867325
episode - 243/10000, epsilon = 0.025302837739561827
episode - 244/10000, epsilon = 0.025076020979810997
episode - 245/10000, epsilon = 0.024653121969839265
episode - 246/10000, epsilon = 0.02428590253450561
episode - 247/10000, epsilon = 0.02406820166722745
episode - 248/10000, epsilon = 0.02366229920506788
episode - 249/10000, epsilon = 0.023263242157080293
episode - 250/10000, epsilon = 0.023031653794696922
episode - 251/10000, epsilon = 0.02282519611832143
episode - 252/10000, epsilon = 0.02262058914587343
episode - 253/10000, epsilon = 0.022239100202214104
episode - 254/10000, epsilon = 0.021864044946607545
episode - 255/10000, epsilon = 0.021668053813878495
episode - 256/10000, epsilon = 0.021302629071520807
episode - 257/10000, epsilon = 0.02104839882013083
episode - 258/10000, epsilon = 0.02073487337135147
episode - 259/10000, epsilon = 0.020385186416324048
episode - 260/10000, epsilon = 0.02004139681906325
episode - 261/10000, epsilon = 0.019841882312965502
episode - 262/10000, epsilon = 0.01956589436925137
episode - 263/10000, epsilon = 0.019390504051053116
episode - 264/10000, epsilon = 0.01906348945122305
episode - 265/10000, epsilon = 0.018892602732848776
episode - 266/10000, epsilon = 0.018723247857350977
episode - 267/10000, epsilon = 0.018555411093161635
episode - 268/10000, epsilon = 0.018242480066854295
episode - 269/10000, epsilon = 0.018078952945462943
episode - 270/10000, epsilon = 0.017916891694903438
episode - 271/10000, epsilon = 0.017720788364919887
episode - 272/10000, epsilon = 0.017421932981863824
episode - 273/10000, epsilon = 0.01712811769849985
episode - 274/10000, epsilon = 0.016906783275182764
episode - 275/10000, epsilon = 0.01662165582555119
episode - 276/10000, epsilon = 0.016341336958440027
episode - 277/10000, epsilon = 0.016194851843329215
episode - 278/10000, epsilon = 0.01604967983307657
episode - 279/10000, epsilon = 0.015779007156688403
episode - 280/10000, epsilon = 0.015637562813085416
episode - 281/10000, epsilon = 0.015497386388442006
episode - 282/10000, epsilon = 0.015358466517026274
episode - 283/10000, epsilon = 0.015220791934989696
