episode - 0/40000, reward_per_episode = 0
episode - 401/40000, reward_per_episode = 107.5
episode - 402/40000, reward_per_episode = 106.0
episode - 403/40000, reward_per_episode = 108.0
episode - 404/40000, reward_per_episode = 106.0
episode - 405/40000, reward_per_episode = 122.5
episode - 406/40000, reward_per_episode = 107.5
episode - 407/40000, reward_per_episode = 107.5
episode - 408/40000, reward_per_episode = 107.5
episode - 409/40000, reward_per_episode = 107.5
episode - 410/40000, reward_per_episode = 107.5
episode - 411/40000, reward_per_episode = 107.5
episode - 412/40000, reward_per_episode = 120.5
episode - 413/40000, reward_per_episode = 62.5
episode - 414/40000, reward_per_episode = 104.0
episode - 415/40000, reward_per_episode = 107.5
episode - 416/40000, reward_per_episode = 107.5
episode - 417/40000, reward_per_episode = 71.5
episode - 418/40000, reward_per_episode = 97.5
episode - 419/40000, reward_per_episode = 70.0
episode - 420/40000, reward_per_episode = 133.5
episode - 421/40000, reward_per_episode = 107.5
episode - 422/40000, reward_per_episode = 107.5
episode - 423/40000, reward_per_episode = 107.5
episode - 424/40000, reward_per_episode = 49.0
episode - 425/40000, reward_per_episode = 107.5
episode - 426/40000, reward_per_episode = 107.5
episode - 427/40000, reward_per_episode = 107.5
episode - 428/40000, reward_per_episode = 73.0
episode - 429/40000, reward_per_episode = 95.5
episode - 430/40000, reward_per_episode = 55.0
episode - 431/40000, reward_per_episode = 70.0
episode - 432/40000, reward_per_episode = 55.0
episode - 433/40000, reward_per_episode = 43.0
episode - 434/40000, reward_per_episode = 107.5
episode - 435/40000, reward_per_episode = 114.0
episode - 436/40000, reward_per_episode = 127.0
episode - 437/40000, reward_per_episode = 115.0
episode - 438/40000, reward_per_episode = 55.0
episode - 439/40000, reward_per_episode = 97.5
episode - 440/40000, reward_per_episode = 107.5
episode - 441/40000, reward_per_episode = 22.0
episode - 442/40000, reward_per_episode = 107.5
episode - 443/40000, reward_per_episode = 115.5
episode - 444/40000, reward_per_episode = -0.5
episode - 445/40000, reward_per_episode = 97.5
episode - 446/40000, reward_per_episode = 121.5
episode - 447/40000, reward_per_episode = 67.0
episode - 448/40000, reward_per_episode = 107.5
episode - 449/40000, reward_per_episode = 107.5
episode - 450/40000, reward_per_episode = 107.5
episode - 451/40000, reward_per_episode = 107.5
episode - 452/40000, reward_per_episode = 107.5
episode - 453/40000, reward_per_episode = 107.5
episode - 454/40000, reward_per_episode = 117.5
episode - 455/40000, reward_per_episode = 107.5
episode - 456/40000, reward_per_episode = 107.5
episode - 457/40000, reward_per_episode = 107.5
episode - 458/40000, reward_per_episode = 107.5
episode - 459/40000, reward_per_episode = 85.0
episode - 460/40000, reward_per_episode = 107.5
episode - 461/40000, reward_per_episode = 107.5
episode - 462/40000, reward_per_episode = 112.0
episode - 463/40000, reward_per_episode = 112.5
episode - 464/40000, reward_per_episode = 55.0
episode - 465/40000, reward_per_episode = 107.5
episode - 466/40000, reward_per_episode = 22.0
episode - 467/40000, reward_per_episode = 107.5
episode - 468/40000, reward_per_episode = 118.0
episode - 469/40000, reward_per_episode = 107.5
episode - 470/40000, reward_per_episode = 107.5
episode - 471/40000, reward_per_episode = 107.5
