episode - 0/40000, accumulative_reward = 0
episode - 189/40000, accumulative_reward = 9121.5
episode - 190/40000, accumulative_reward = 9229.0
episode - 191/40000, accumulative_reward = 9336.5
episode - 192/40000, accumulative_reward = 9452.0
episode - 193/40000, accumulative_reward = 9563.5
episode - 194/40000, accumulative_reward = 9691.5
episode - 195/40000, accumulative_reward = 9793.5
episode - 196/40000, accumulative_reward = 9901.0
episode - 197/40000, accumulative_reward = 10008.5
episode - 198/40000, accumulative_reward = 10096.0
episode - 199/40000, accumulative_reward = 10203.5
episode - 200/40000, accumulative_reward = 10228.5
episode - 201/40000, accumulative_reward = 10314.5
episode - 202/40000, accumulative_reward = 10430.0
episode - 203/40000, accumulative_reward = 10554.0
episode - 204/40000, accumulative_reward = 10666.5
episode - 205/40000, accumulative_reward = 10661.5
episode - 206/40000, accumulative_reward = 10764.5
episode - 207/40000, accumulative_reward = 10846.5
episode - 208/40000, accumulative_reward = 10954.0
episode - 209/40000, accumulative_reward = 11061.5
episode - 210/40000, accumulative_reward = 11156.5
episode - 211/40000, accumulative_reward = 11264.0
episode - 212/40000, accumulative_reward = 11340.0
episode - 213/40000, accumulative_reward = 11407.0
episode - 214/40000, accumulative_reward = 11528.0
episode - 215/40000, accumulative_reward = 11635.5
episode - 216/40000, accumulative_reward = 11702.5
episode - 217/40000, accumulative_reward = 11810.0
episode - 218/40000, accumulative_reward = 11856.0
episode - 219/40000, accumulative_reward = 11963.5
episode - 220/40000, accumulative_reward = 12103.5
episode - 221/40000, accumulative_reward = 12185.5
episode - 222/40000, accumulative_reward = 12280.5
episode - 223/40000, accumulative_reward = 12388.0
episode - 224/40000, accumulative_reward = 12495.5
episode - 225/40000, accumulative_reward = 12623.5
episode - 226/40000, accumulative_reward = 12731.0
episode - 227/40000, accumulative_reward = 12838.5
episode - 228/40000, accumulative_reward = 12953.5
episode - 229/40000, accumulative_reward = 13002.5
episode - 230/40000, accumulative_reward = 13105.5
episode - 231/40000, accumulative_reward = 13208.5
episode - 232/40000, accumulative_reward = 13314.5
episode - 233/40000, accumulative_reward = 13426.5
episode - 234/40000, accumulative_reward = 13558.0
episode - 235/40000, accumulative_reward = 13617.5
episode - 236/40000, accumulative_reward = 13713.0
episode - 237/40000, accumulative_reward = 13824.5
episode - 238/40000, accumulative_reward = 13858.5
episode - 239/40000, accumulative_reward = 13999.0
episode - 240/40000, accumulative_reward = 14106.5
episode - 241/40000, accumulative_reward = 14200.5
episode - 242/40000, accumulative_reward = 14310.0
episode - 243/40000, accumulative_reward = 14392.0
episode - 244/40000, accumulative_reward = 14463.5
episode - 245/40000, accumulative_reward = 14585.0
episode - 246/40000, accumulative_reward = 14661.0
episode - 247/40000, accumulative_reward = 14767.5
episode - 248/40000, accumulative_reward = 14875.0
episode - 249/40000, accumulative_reward = 14936.0
episode - 250/40000, accumulative_reward = 15044.0
episode - 251/40000, accumulative_reward = 15151.5
episode - 252/40000, accumulative_reward = 15251.5
episode - 253/40000, accumulative_reward = 15363.0
episode - 254/40000, accumulative_reward = 15439.0
episode - 255/40000, accumulative_reward = 15470.0
episode - 256/40000, accumulative_reward = 15571.5
episode - 257/40000, accumulative_reward = 15656.5
episode - 258/40000, accumulative_reward = 15784.0
episode - 259/40000, accumulative_reward = 15857.0
episode - 260/40000, accumulative_reward = 15939.0
episode - 261/40000, accumulative_reward = 16016.5
episode - 262/40000, accumulative_reward = 16106.5
episode - 263/40000, accumulative_reward = 16196.0
episode - 264/40000, accumulative_reward = 16245.0
episode - 265/40000, accumulative_reward = 16307.5
episode - 266/40000, accumulative_reward = 16405.0
episode - 267/40000, accumulative_reward = 16476.5
episode - 268/40000, accumulative_reward = 16614.0
episode - 269/40000, accumulative_reward = 16745.5
episode - 270/40000, accumulative_reward = 16853.0
episode - 271/40000, accumulative_reward = 16981.0
episode - 272/40000, accumulative_reward = 17088.5
episode - 273/40000, accumulative_reward = 17151.0
episode - 274/40000, accumulative_reward = 17173.0
episode - 275/40000, accumulative_reward = 17281.0
episode - 276/40000, accumulative_reward = 17388.5
episode - 277/40000, accumulative_reward = 17500.0
episode - 278/40000, accumulative_reward = 17596.0
episode - 279/40000, accumulative_reward = 17703.5
episode - 280/40000, accumulative_reward = 17811.0
episode - 281/40000, accumulative_reward = 17926.0
episode - 282/40000, accumulative_reward = 17951.0
episode - 283/40000, accumulative_reward = 18058.5
episode - 284/40000, accumulative_reward = 18166.0
episode - 285/40000, accumulative_reward = 18273.5
episode - 286/40000, accumulative_reward = 18385.0
episode - 287/40000, accumulative_reward = 18434.0
episode - 288/40000, accumulative_reward = 18555.0
episode - 289/40000, accumulative_reward = 18662.5
episode - 290/40000, accumulative_reward = 18770.0
episode - 291/40000, accumulative_reward = 18834.0
episode - 292/40000, accumulative_reward = 18954.5
episode - 293/40000, accumulative_reward = 19051.5
episode - 294/40000, accumulative_reward = 19159.0
episode - 295/40000, accumulative_reward = 19266.5
episode - 296/40000, accumulative_reward = 19309.5
episode - 297/40000, accumulative_reward = 19417.0
episode - 298/40000, accumulative_reward = 19403.0
episode - 299/40000, accumulative_reward = 19497.0
episode - 300/40000, accumulative_reward = 19604.5
episode - 301/40000, accumulative_reward = 19689.5
episode - 302/40000, accumulative_reward = 19804.0
episode - 303/40000, accumulative_reward = 19853.0
episode - 304/40000, accumulative_reward = 19968.0
episode - 305/40000, accumulative_reward = 19978.0
episode - 306/40000, accumulative_reward = 19982.0
episode - 307/40000, accumulative_reward = 20079.5
episode - 308/40000, accumulative_reward = 20187.0
episode - 309/40000, accumulative_reward = 20294.5
episode - 310/40000, accumulative_reward = 20289.5
episode - 311/40000, accumulative_reward = 20404.0
episode - 312/40000, accumulative_reward = 20474.0
episode - 313/40000, accumulative_reward = 20544.0
episode - 314/40000, accumulative_reward = 20651.5
episode - 315/40000, accumulative_reward = 20673.5
episode - 316/40000, accumulative_reward = 20756.0
episode - 317/40000, accumulative_reward = 20884.0
episode - 318/40000, accumulative_reward = 21018.0
episode - 319/40000, accumulative_reward = 21125.5
episode - 320/40000, accumulative_reward = 21240.5
episode - 321/40000, accumulative_reward = 21348.0
episode - 322/40000, accumulative_reward = 21457.0
episode - 323/40000, accumulative_reward = 21564.5
episode - 324/40000, accumulative_reward = 21704.5
episode - 325/40000, accumulative_reward = 21812.0
episode - 326/40000, accumulative_reward = 21835.5
episode - 327/40000, accumulative_reward = 21933.0
episode - 328/40000, accumulative_reward = 21970.0
episode - 329/40000, accumulative_reward = 22077.5
episode - 330/40000, accumulative_reward = 22153.5
episode - 331/40000, accumulative_reward = 22261.0
episode - 332/40000, accumulative_reward = 22283.0
episode - 333/40000, accumulative_reward = 22365.5
episode - 334/40000, accumulative_reward = 22465.0
episode - 335/40000, accumulative_reward = 22572.5
episode - 336/40000, accumulative_reward = 22680.0
episode - 337/40000, accumulative_reward = 22787.5
episode - 338/40000, accumulative_reward = 22895.0
episode - 339/40000, accumulative_reward = 22911.0
episode - 340/40000, accumulative_reward = 23018.5
episode - 341/40000, accumulative_reward = 23152.0
episode - 342/40000, accumulative_reward = 23189.0
episode - 343/40000, accumulative_reward = 23326.5
episode - 344/40000, accumulative_reward = 23460.5
episode - 345/40000, accumulative_reward = 23532.0
episode - 346/40000, accumulative_reward = 23646.5
episode - 347/40000, accumulative_reward = 23779.0
episode - 348/40000, accumulative_reward = 23898.5
episode - 349/40000, accumulative_reward = 24026.5
episode - 350/40000, accumulative_reward = 24089.0
episode - 351/40000, accumulative_reward = 24199.5
episode - 352/40000, accumulative_reward = 24317.0
episode - 353/40000, accumulative_reward = 24424.5
episode - 354/40000, accumulative_reward = 24532.0
episode - 355/40000, accumulative_reward = 24639.5
episode - 356/40000, accumulative_reward = 24747.0
episode - 357/40000, accumulative_reward = 24867.5
episode - 358/40000, accumulative_reward = 24975.0
episode - 359/40000, accumulative_reward = 25112.0
episode - 360/40000, accumulative_reward = 25219.5
episode - 361/40000, accumulative_reward = 25327.0
episode - 362/40000, accumulative_reward = 25389.5
episode - 363/40000, accumulative_reward = 25493.5
episode - 364/40000, accumulative_reward = 25608.5
episode - 365/40000, accumulative_reward = 25716.0
episode - 366/40000, accumulative_reward = 25823.5
episode - 367/40000, accumulative_reward = 25865.0
episode - 368/40000, accumulative_reward = 25972.5
episode - 369/40000, accumulative_reward = 26078.5
episode - 370/40000, accumulative_reward = 26186.0
episode - 371/40000, accumulative_reward = 26293.5
episode - 372/40000, accumulative_reward = 26401.0
episode - 373/40000, accumulative_reward = 26508.5
episode - 374/40000, accumulative_reward = 26616.0
episode - 375/40000, accumulative_reward = 26723.5
episode - 376/40000, accumulative_reward = 26831.0
episode - 377/40000, accumulative_reward = 26971.0
episode - 378/40000, accumulative_reward = 27041.0
episode - 379/40000, accumulative_reward = 27099.0
episode - 380/40000, accumulative_reward = 27213.0
episode - 381/40000, accumulative_reward = 27275.5
episode - 382/40000, accumulative_reward = 27273.5
episode - 383/40000, accumulative_reward = 27270.0
episode - 384/40000, accumulative_reward = 27377.5
episode - 385/40000, accumulative_reward = 27492.0
episode - 386/40000, accumulative_reward = 27599.5
episode - 387/40000, accumulative_reward = 27714.0
episode - 388/40000, accumulative_reward = 27821.5
episode - 389/40000, accumulative_reward = 27834.5
episode - 390/40000, accumulative_reward = 27942.5
episode - 391/40000, accumulative_reward = 28050.0
episode - 392/40000, accumulative_reward = 28157.5
episode - 393/40000, accumulative_reward = 28272.0
episode - 394/40000, accumulative_reward = 28379.5
episode - 395/40000, accumulative_reward = 28487.0
episode - 396/40000, accumulative_reward = 28599.0
episode - 397/40000, accumulative_reward = 28716.5
episode - 398/40000, accumulative_reward = 28771.5
episode - 399/40000, accumulative_reward = 28898.5
episode - 400/40000, accumulative_reward = 29006.0
episode - 401/40000, accumulative_reward = 29113.5
episode - 402/40000, accumulative_reward = 29219.5
episode - 403/40000, accumulative_reward = 29327.5
episode - 404/40000, accumulative_reward = 29433.5
episode - 405/40000, accumulative_reward = 29556.0
episode - 406/40000, accumulative_reward = 29663.5
episode - 407/40000, accumulative_reward = 29771.0
episode - 408/40000, accumulative_reward = 29878.5
episode - 409/40000, accumulative_reward = 29986.0
episode - 410/40000, accumulative_reward = 30093.5
episode - 411/40000, accumulative_reward = 30201.0
episode - 412/40000, accumulative_reward = 30321.5
episode - 413/40000, accumulative_reward = 30384.0
episode - 414/40000, accumulative_reward = 30488.0
episode - 415/40000, accumulative_reward = 30595.5
episode - 416/40000, accumulative_reward = 30703.0
episode - 417/40000, accumulative_reward = 30774.5
episode - 418/40000, accumulative_reward = 30872.0
episode - 419/40000, accumulative_reward = 30942.0
episode - 420/40000, accumulative_reward = 31075.5
episode - 421/40000, accumulative_reward = 31183.0
episode - 422/40000, accumulative_reward = 31290.5
episode - 423/40000, accumulative_reward = 31398.0
episode - 424/40000, accumulative_reward = 31447.0
episode - 425/40000, accumulative_reward = 31554.5
episode - 426/40000, accumulative_reward = 31662.0
episode - 427/40000, accumulative_reward = 31769.5
episode - 428/40000, accumulative_reward = 31842.5
episode - 429/40000, accumulative_reward = 31938.0
episode - 430/40000, accumulative_reward = 31993.0
episode - 431/40000, accumulative_reward = 32063.0
episode - 432/40000, accumulative_reward = 32118.0
episode - 433/40000, accumulative_reward = 32161.0
episode - 434/40000, accumulative_reward = 32268.5
episode - 435/40000, accumulative_reward = 32382.5
episode - 436/40000, accumulative_reward = 32509.5
episode - 437/40000, accumulative_reward = 32624.5
episode - 438/40000, accumulative_reward = 32679.5
episode - 439/40000, accumulative_reward = 32777.0
episode - 440/40000, accumulative_reward = 32884.5
episode - 441/40000, accumulative_reward = 32906.5
episode - 442/40000, accumulative_reward = 33014.0
episode - 443/40000, accumulative_reward = 33129.5
episode - 444/40000, accumulative_reward = 33129.0
episode - 445/40000, accumulative_reward = 33226.5
episode - 446/40000, accumulative_reward = 33348.0
episode - 447/40000, accumulative_reward = 33415.0
episode - 448/40000, accumulative_reward = 33522.5
episode - 449/40000, accumulative_reward = 33630.0
episode - 450/40000, accumulative_reward = 33737.5
episode - 451/40000, accumulative_reward = 33845.0
episode - 452/40000, accumulative_reward = 33952.5
episode - 453/40000, accumulative_reward = 34060.0
episode - 454/40000, accumulative_reward = 34177.5
episode - 455/40000, accumulative_reward = 34285.0
episode - 456/40000, accumulative_reward = 34392.5
episode - 457/40000, accumulative_reward = 34500.0
episode - 458/40000, accumulative_reward = 34607.5
episode - 459/40000, accumulative_reward = 34692.5
episode - 460/40000, accumulative_reward = 34800.0
episode - 461/40000, accumulative_reward = 34907.5
episode - 462/40000, accumulative_reward = 35019.5
