episode - 396/40000, loss = 93.37865447998047
episode - 397/40000, loss = 29.760515213012695
episode - 398/40000, loss = 42.46428298950195
episode - 399/40000, loss = 160.2654571533203
episode - 400/40000, loss = 0.3895433247089386
episode - 401/40000, loss = 45.15218734741211
episode - 402/40000, loss = 52.05101776123047
episode - 403/40000, loss = 0.06579237431287766
episode - 404/40000, loss = 7.319717884063721
episode - 405/40000, loss = 362.0262451171875
episode - 406/40000, loss = 0.7895885705947876
episode - 407/40000, loss = 72.22782135009766
episode - 408/40000, loss = 19.322887420654297
episode - 409/40000, loss = 6.92779016494751
episode - 410/40000, loss = 10.937909126281738
episode - 411/40000, loss = 56.735557556152344
episode - 412/40000, loss = 19.62078857421875
episode - 413/40000, loss = 29.889026641845703
episode - 414/40000, loss = 2.263443946838379
episode - 415/40000, loss = 595.828369140625
episode - 416/40000, loss = 3.1532514095306396
episode - 417/40000, loss = 17.045032501220703
episode - 418/40000, loss = 398.7189025878906
episode - 419/40000, loss = 87.51849365234375
episode - 420/40000, loss = 30.558908462524414
episode - 421/40000, loss = 1.4151520729064941
episode - 422/40000, loss = 39.59751892089844
episode - 423/40000, loss = 75.1266098022461
episode - 424/40000, loss = 127.09613800048828
episode - 425/40000, loss = 0.10817103832960129
episode - 426/40000, loss = 11.494319915771484
episode - 427/40000, loss = 1.1235624551773071
episode - 428/40000, loss = 145.31216430664062
episode - 429/40000, loss = 48.96107482910156
episode - 430/40000, loss = 50.43292999267578
episode - 431/40000, loss = 20.0307674407959
episode - 432/40000, loss = 33.32532501220703
episode - 433/40000, loss = 7.0095343589782715
episode - 434/40000, loss = 30.65165901184082
episode - 435/40000, loss = 2.8728106021881104
episode - 436/40000, loss = 98.30767822265625
episode - 437/40000, loss = 99.82780456542969
episode - 438/40000, loss = 13.331507682800293
episode - 439/40000, loss = 19.97313117980957
episode - 440/40000, loss = 8.115306854248047
episode - 441/40000, loss = 0.6027578711509705
episode - 442/40000, loss = 63.92167663574219
episode - 443/40000, loss = 27.330236434936523
episode - 444/40000, loss = 15.944361686706543
episode - 445/40000, loss = 47.030540466308594
episode - 446/40000, loss = 55.38728713989258
episode - 447/40000, loss = 16.068119049072266
episode - 448/40000, loss = 35.17721176147461
episode - 449/40000, loss = 14.470945358276367
episode - 450/40000, loss = 32.20929718017578
episode - 451/40000, loss = 1.5216199159622192
episode - 452/40000, loss = 33.4090576171875
episode - 453/40000, loss = 181.41744995117188
episode - 454/40000, loss = 39.10480880737305
episode - 455/40000, loss = 0.3548402786254883
episode - 456/40000, loss = 15.071626663208008
episode - 457/40000, loss = 35.98667907714844
episode - 458/40000, loss = 3.150860548019409
episode - 459/40000, loss = 6.826029300689697
episode - 460/40000, loss = 91.27266693115234
episode - 461/40000, loss = 42.37382125854492
episode - 462/40000, loss = 0.03622860461473465
episode - 463/40000, loss = 3.5277411937713623
episode - 464/40000, loss = 10.498648643493652
episode - 465/40000, loss = 18.849336624145508
episode - 466/40000, loss = 13.965892791748047
episode - 467/40000, loss = 36.902400970458984
episode - 468/40000, loss = 24.092527389526367
episode - 469/40000, loss = 94.59855651855469
episode - 470/40000, loss = 6.011441707611084
episode - 471/40000, loss = 5.658505439758301
episode - 472/40000, loss = 13.585111618041992
episode - 473/40000, loss = 5.864065170288086
