episode - 0/10000, reward_per_episode = 0
episode - 244/10000, reward_per_episode = 91.05119917510156
episode - 245/10000, reward_per_episode = 35.02104927304967
episode - 246/10000, reward_per_episode = 613.9801896495095
episode - 247/10000, reward_per_episode = 100.0
episode - 248/10000, reward_per_episode = 100.0
episode - 249/10000, reward_per_episode = 100.0
episode - 250/10000, reward_per_episode = 113.92977892565082
episode - 251/10000, reward_per_episode = 2113.4882526264787
episode - 252/10000, reward_per_episode = 1042.0214953193572
episode - 253/10000, reward_per_episode = 262.341459086418
episode - 254/10000, reward_per_episode = 35.02104927304967
episode - 255/10000, reward_per_episode = 590.1578988223391
episode - 256/10000, reward_per_episode = 100.0
episode - 257/10000, reward_per_episode = 97.70789415219403
episode - 258/10000, reward_per_episode = 783.6161075631366
episode - 259/10000, reward_per_episode = 100.0
episode - 260/10000, reward_per_episode = 100.0
episode - 261/10000, reward_per_episode = 519.8046534372102
episode - 262/10000, reward_per_episode = 91.05119917510156
episode - 263/10000, reward_per_episode = 100.0
episode - 264/10000, reward_per_episode = 91.05119917510156
episode - 265/10000, reward_per_episode = -296.2446141262359
episode - 266/10000, reward_per_episode = 1399.4458675309843
episode - 267/10000, reward_per_episode = 97.70789415219403
episode - 268/10000, reward_per_episode = 35.02104927304967
episode - 269/10000, reward_per_episode = 831.4654535905396
episode - 270/10000, reward_per_episode = 35.02104927304967
episode - 271/10000, reward_per_episode = 999.8621237832656
episode - 272/10000, reward_per_episode = 35.02104927304967
episode - 273/10000, reward_per_episode = -192.08415044799528
episode - 274/10000, reward_per_episode = 830.5342410732871
episode - 275/10000, reward_per_episode = 100.0
episode - 276/10000, reward_per_episode = 100.0
episode - 277/10000, reward_per_episode = 812.8514967158943
episode - 278/10000, reward_per_episode = 100.0
episode - 279/10000, reward_per_episode = 162.70789415219403
episode - 280/10000, reward_per_episode = 815.3848243363715
episode - 281/10000, reward_per_episode = -119.74124316197043
episode - 282/10000, reward_per_episode = 1654.731204129111
episode - 283/10000, reward_per_episode = 35.02104927304967
episode - 284/10000, reward_per_episode = 100.0
episode - 285/10000, reward_per_episode = 100.0
episode - 286/10000, reward_per_episode = 63.301816564181905
episode - 287/10000, reward_per_episode = 100.0
episode - 288/10000, reward_per_episode = 100.0
episode - 289/10000, reward_per_episode = -231.81052521493402
episode - 290/10000, reward_per_episode = 97.70789415219403
episode - 291/10000, reward_per_episode = 992.3942335862766
episode - 292/10000, reward_per_episode = 371.26412351669137
episode - 293/10000, reward_per_episode = 461.36858575071244
episode - 294/10000, reward_per_episode = 867.2036470560657
episode - 295/10000, reward_per_episode = 469.751764176246
episode - 296/10000, reward_per_episode = 58.16670820641946
episode - 297/10000, reward_per_episode = 599.6397593958111
episode - 298/10000, reward_per_episode = 255.28741300125245
episode - 299/10000, reward_per_episode = 383.39811320566037
episode - 300/10000, reward_per_episode = 35.02104927304967
episode - 301/10000, reward_per_episode = -226.66555570250895
episode - 302/10000, reward_per_episode = 262.341459086418
episode - 303/10000, reward_per_episode = 100.0
episode - 304/10000, reward_per_episode = 436.69460620462326
episode - 305/10000, reward_per_episode = -324.9789507269503
episode - 306/10000, reward_per_episode = 100.0
episode - 307/10000, reward_per_episode = 341.66788644524877
episode - 308/10000, reward_per_episode = 331.34955035947434
episode - 309/10000, reward_per_episode = 366.0699800341998
episode - 310/10000, reward_per_episode = -230.8803745261357
episode - 311/10000, reward_per_episode = 330.6313483708808
episode - 312/10000, reward_per_episode = 100.0
episode - 313/10000, reward_per_episode = 45.92997556523591
episode - 314/10000, reward_per_episode = -102.4586351110758
episode - 315/10000, reward_per_episode = 35.02104927304967
episode - 316/10000, reward_per_episode = 341.66788644524877
episode - 317/10000, reward_per_episode = 264.6211251235321
episode - 318/10000, reward_per_episode = -332.9247948687098
episode - 319/10000, reward_per_episode = -493.2459199047071
episode - 320/10000, reward_per_episode = 100.0
episode - 321/10000, reward_per_episode = 781.7864535334088
episode - 322/10000, reward_per_episode = -523.4368517031616
episode - 323/10000, reward_per_episode = 76.49841768919242
episode - 324/10000, reward_per_episode = 487.1337539376235
episode - 325/10000, reward_per_episode = 100.0
episode - 326/10000, reward_per_episode = 100.0
episode - 327/10000, reward_per_episode = 219.2914585235297
episode - 328/10000, reward_per_episode = 541.7057204238538
episode - 329/10000, reward_per_episode = 264.6211251235321
episode - 330/10000, reward_per_episode = 96.92235935955848
episode - 331/10000, reward_per_episode = 996.403674628534
episode - 332/10000, reward_per_episode = 225.52326390238977
episode - 333/10000, reward_per_episode = -257.0270437440426
episode - 334/10000, reward_per_episode = 1405.5068162107584
episode - 335/10000, reward_per_episode = 35.02104927304967
episode - 336/10000, reward_per_episode = 496.22517695728527
episode - 337/10000, reward_per_episode = 496.22517695728527
episode - 338/10000, reward_per_episode = 95.05084417849696
episode - 339/10000, reward_per_episode = 100.0
episode - 340/10000, reward_per_episode = 83.58499803464986
episode - 341/10000, reward_per_episode = 1145.6993504992024
episode - 342/10000, reward_per_episode = 100.0
episode - 343/10000, reward_per_episode = -470.91902868967344
episode - 344/10000, reward_per_episode = 2458.3697641743
episode - 345/10000, reward_per_episode = 379.95406204908966
episode - 346/10000, reward_per_episode = 561.032175379716
episode - 347/10000, reward_per_episode = 161.11025509279784
episode - 348/10000, reward_per_episode = 100.0
episode - 349/10000, reward_per_episode = 250.73371959571875
episode - 350/10000, reward_per_episode = -619.7184270842906
episode - 351/10000, reward_per_episode = 262.341459086418
episode - 352/10000, reward_per_episode = 496.22517695728527
episode - 353/10000, reward_per_episode = 300.9678115253599
episode - 354/10000, reward_per_episode = 186.8268877955014
episode - 355/10000, reward_per_episode = 405.53579386417397
episode - 356/10000, reward_per_episode = 35.02104927304967
episode - 357/10000, reward_per_episode = 318.3699874435888
episode - 358/10000, reward_per_episode = 221.02496759066548
episode - 359/10000, reward_per_episode = 97.70789415219403
episode - 360/10000, reward_per_episode = 429.25565129717256
episode - 361/10000, reward_per_episode = 565.27491419868
episode - 362/10000, reward_per_episode = 18.561983604709383
episode - 363/10000, reward_per_episode = 35.02104927304967
episode - 364/10000, reward_per_episode = 35.02104927304967
episode - 365/10000, reward_per_episode = 300.9678115253599
episode - 366/10000, reward_per_episode = 97.70789415219403
episode - 367/10000, reward_per_episode = 320.9940614131783
episode - 368/10000, reward_per_episode = 998.8854606123505
episode - 369/10000, reward_per_episode = 179.75429938556368
episode - 370/10000, reward_per_episode = 35.02104927304967
episode - 371/10000, reward_per_episode = 427.1645778433104
episode - 372/10000, reward_per_episode = 186.8268877955014
episode - 373/10000, reward_per_episode = 100.0
episode - 374/10000, reward_per_episode = -18.53816036573221
episode - 375/10000, reward_per_episode = 100.0
episode - 376/10000, reward_per_episode = 496.22517695728527
episode - 377/10000, reward_per_episode = 100.0
episode - 378/10000, reward_per_episode = 334.5477885384131
episode - 379/10000, reward_per_episode = -520.0688502395151
episode - 380/10000, reward_per_episode = 712.429906137786
episode - 381/10000, reward_per_episode = 85.7211132851909
episode - 382/10000, reward_per_episode = 100.0
episode - 383/10000, reward_per_episode = 300.9678115253599
episode - 384/10000, reward_per_episode = 496.22517695728527
episode - 385/10000, reward_per_episode = 100.0
episode - 386/10000, reward_per_episode = 97.70789415219403
episode - 387/10000, reward_per_episode = 313.91628537910026
episode - 388/10000, reward_per_episode = 515.8542971356479
episode - 389/10000, reward_per_episode = 1284.0621250750112
episode - 390/10000, reward_per_episode = -673.5021663044334
episode - 391/10000, reward_per_episode = 264.6211251235321
episode - 392/10000, reward_per_episode = 360.5271512015387
episode - 393/10000, reward_per_episode = 100.0
episode - 394/10000, reward_per_episode = 496.22517695728527
episode - 395/10000, reward_per_episode = 97.70789415219403
episode - 396/10000, reward_per_episode = 97.70789415219403
episode - 397/10000, reward_per_episode = 91.05119917510156
episode - 398/10000, reward_per_episode = 97.70789415219403
episode - 399/10000, reward_per_episode = 35.02104927304967
episode - 400/10000, reward_per_episode = 960.3528679450333
episode - 401/10000, reward_per_episode = 371.26412351669137
episode - 402/10000, reward_per_episode = 517.0329614269008
episode - 403/10000, reward_per_episode = 100.0
episode - 404/10000, reward_per_episode = 35.02104927304967
episode - 405/10000, reward_per_episode = 100.0
episode - 406/10000, reward_per_episode = 35.02104927304967
episode - 407/10000, reward_per_episode = -161.2611711966737
episode - 408/10000, reward_per_episode = -720.6507379978008
episode - 409/10000, reward_per_episode = 658.0115292932683
episode - 410/10000, reward_per_episode = 441.997633668267
episode - 411/10000, reward_per_episode = 100.0
episode - 412/10000, reward_per_episode = 977.6588780660571
episode - 413/10000, reward_per_episode = 64.6390066353697
episode - 414/10000, reward_per_episode = 100.0
episode - 415/10000, reward_per_episode = 300.6462550236869
episode - 416/10000, reward_per_episode = 276.4822789991682
episode - 417/10000, reward_per_episode = 790.2205341548848
episode - 418/10000, reward_per_episode = 100.0
episode - 419/10000, reward_per_episode = 35.02104927304967
episode - 420/10000, reward_per_episode = -141.46153826195234
episode - 421/10000, reward_per_episode = 300.9678115253599
episode - 422/10000, reward_per_episode = 94.74071504167206
episode - 423/10000, reward_per_episode = 1231.9128631133292
episode - 424/10000, reward_per_episode = 875.9949633917865
episode - 425/10000, reward_per_episode = 334.42719099991587
episode - 426/10000, reward_per_episode = 91.05119917510156
episode - 427/10000, reward_per_episode = 203.559938589793
