episode - 0/10000, accumulative_reward = 0
episode - 275/10000, accumulative_reward = 303693.87620841863
episode - 276/10000, accumulative_reward = 304367.6906520555
episode - 277/10000, accumulative_reward = 304404.8494578313
episode - 278/10000, accumulative_reward = 305971.0614227251
episode - 279/10000, accumulative_reward = 307966.43555649894
episode - 280/10000, accumulative_reward = 309638.8976767448
episode - 281/10000, accumulative_reward = 311311.35979699064
episode - 282/10000, accumulative_reward = 311073.5886237731
episode - 283/10000, accumulative_reward = 311311.9597754916
episode - 284/10000, accumulative_reward = 314608.43060100777
episode - 285/10000, accumulative_reward = 316478.7566245752
episode - 286/10000, accumulative_reward = 318151.21874482103
episode - 287/10000, accumulative_reward = 319823.6808650669
episode - 288/10000, accumulative_reward = 321496.14298531273
episode - 289/10000, accumulative_reward = 323168.6051055586
episode - 290/10000, accumulative_reward = 322746.7291674615
episode - 291/10000, accumulative_reward = 326638.78684962384
episode - 292/10000, accumulative_reward = 327706.27445723064
episode - 293/10000, accumulative_reward = 329378.7365774765
episode - 294/10000, accumulative_reward = 330669.18373811594
episode - 295/10000, accumulative_reward = 332539.50976168335
episode - 296/10000, accumulative_reward = 334960.3550601309
episode - 297/10000, accumulative_reward = 336720.4055664697
episode - 298/10000, accumulative_reward = 338392.86768671556
episode - 299/10000, accumulative_reward = 340065.3298069614
episode - 300/10000, accumulative_reward = 341835.8779802786
episode - 301/10000, accumulative_reward = 343152.7035437066
episode - 302/10000, accumulative_reward = 344825.1656639525
episode - 303/10000, accumulative_reward = 346497.6277841983
episode - 304/10000, accumulative_reward = 348170.0899044442
episode - 305/10000, accumulative_reward = 349842.55202469
episode - 306/10000, accumulative_reward = 351515.0141449359
episode - 307/10000, accumulative_reward = 353364.1728927098
episode - 308/10000, accumulative_reward = 355124.2233990486
episode - 309/10000, accumulative_reward = 355445.25704328687
episode - 310/10000, accumulative_reward = 355662.09001018136
episode - 311/10000, accumulative_reward = 357334.5521304272
episode - 312/10000, accumulative_reward = 359007.01425067306
episode - 313/10000, accumulative_reward = 360297.4614113125
episode - 314/10000, accumulative_reward = 360570.65742638096
episode - 315/10000, accumulative_reward = 361243.6745707054
episode - 316/10000, accumulative_reward = 362834.4552956007
episode - 317/10000, accumulative_reward = 363069.9918307035
episode - 318/10000, accumulative_reward = 365059.9413243647
episode - 319/10000, accumulative_reward = 366732.40344461054
episode - 320/10000, accumulative_reward = 368404.8655648564
episode - 321/10000, accumulative_reward = 368640.4020999592
episode - 322/10000, accumulative_reward = 370630.3515936204
episode - 323/10000, accumulative_reward = 372302.8137138662
episode - 324/10000, accumulative_reward = 372623.8473581045
episode - 325/10000, accumulative_reward = 374494.1733816719
episode - 326/10000, accumulative_reward = 374237.1596952829
episode - 327/10000, accumulative_reward = 376235.7092680954
episode - 328/10000, accumulative_reward = 377749.78860948
episode - 329/10000, accumulative_reward = 379690.3680746711
episode - 330/10000, accumulative_reward = 383554.627644539
episode - 331/10000, accumulative_reward = 383646.27394794126
episode - 332/10000, accumulative_reward = 384826.55879665556
episode - 333/10000, accumulative_reward = 386697.005022013
episode - 334/10000, accumulative_reward = 390010.0335982859
episode - 335/10000, accumulative_reward = 390097.1792405542
episode - 336/10000, accumulative_reward = 389719.26858021755
episode - 337/10000, accumulative_reward = 392361.38538445294
episode - 338/10000, accumulative_reward = 396295.96606710606
episode - 339/10000, accumulative_reward = 398166.29209067347
episode - 340/10000, accumulative_reward = 399838.7542109193
episode - 341/10000, accumulative_reward = 401715.76365504216
episode - 342/10000, accumulative_reward = 403475.814161381
episode - 343/10000, accumulative_reward = 405148.27628162684
episode - 344/10000, accumulative_reward = 407171.25716276566
episode - 345/10000, accumulative_reward = 407537.84638267255
episode - 346/10000, accumulative_reward = 408566.13148552185
episode - 347/10000, accumulative_reward = 409075.35048110207
episode - 348/10000, accumulative_reward = 411041.96046775323
episode - 349/10000, accumulative_reward = 412714.4225879991
episode - 350/10000, accumulative_reward = 414386.88470824494
episode - 351/10000, accumulative_reward = 415832.0767358288
episode - 352/10000, accumulative_reward = 417097.5545728643
episode - 353/10000, accumulative_reward = 417056.8750499358
episode - 354/10000, accumulative_reward = 419168.38279876084
episode - 355/10000, accumulative_reward = 420840.8449190067
episode - 356/10000, accumulative_reward = 422513.30703925254
episode - 357/10000, accumulative_reward = 424185.7691594984
episode - 358/10000, accumulative_reward = 425476.21632013784
episode - 359/10000, accumulative_reward = 424271.75285524066
episode - 360/10000, accumulative_reward = 425674.19499681407
episode - 361/10000, accumulative_reward = 427619.58447649516
episode - 362/10000, accumulative_reward = 429564.97395617625
episode - 363/10000, accumulative_reward = 429400.0443052428
episode - 364/10000, accumulative_reward = 431732.1345813035
episode - 365/10000, accumulative_reward = 434569.39661138796
episode - 366/10000, accumulative_reward = 436241.8587316338
episode - 367/10000, accumulative_reward = 438102.0787115747
episode - 368/10000, accumulative_reward = 439774.5408318206
episode - 369/10000, accumulative_reward = 441047.8559581041
episode - 370/10000, accumulative_reward = 442720.3180783499
episode - 371/10000, accumulative_reward = 444392.7801985958
episode - 372/10000, accumulative_reward = 445351.57620479574
episode - 373/10000, accumulative_reward = 447024.0383250416
episode - 374/10000, accumulative_reward = 447445.94839105266
episode - 375/10000, accumulative_reward = 449118.4105112985
episode - 376/10000, accumulative_reward = 450790.87263154436
episode - 377/10000, accumulative_reward = 452463.3347517902
episode - 378/10000, accumulative_reward = 454135.79687203607
episode - 379/10000, accumulative_reward = 455932.1282557167
episode - 380/10000, accumulative_reward = 457692.1787620555
episode - 381/10000, accumulative_reward = 459364.6408823014
episode - 382/10000, accumulative_reward = 461037.1030025472
episode - 383/10000, accumulative_reward = 462317.02173280134
episode - 384/10000, accumulative_reward = 463928.740507572
episode - 385/10000, accumulative_reward = 465601.20262781787
episode - 386/10000, accumulative_reward = 467273.6647480637
episode - 387/10000, accumulative_reward = 468946.12686830957
episode - 388/10000, accumulative_reward = 470618.5889885554
episode - 389/10000, accumulative_reward = 472291.0511088013
episode - 390/10000, accumulative_reward = 474009.0791395397
episode - 391/10000, accumulative_reward = 474144.7573235053
episode - 392/10000, accumulative_reward = 476702.84629109234
episode - 393/10000, accumulative_reward = 478375.3084113382
episode - 394/10000, accumulative_reward = 480047.77053158404
episode - 395/10000, accumulative_reward = 481720.2326518299
episode - 396/10000, accumulative_reward = 483392.69477207575
episode - 397/10000, accumulative_reward = 485065.1568923216
episode - 398/10000, accumulative_reward = 485506.6993238342
episode - 399/10000, accumulative_reward = 487738.413641822
episode - 400/10000, accumulative_reward = 488598.54097757704
episode - 401/10000, accumulative_reward = 488138.54097757704
episode - 402/10000, accumulative_reward = 494661.89069085656
episode - 403/10000, accumulative_reward = 496532.21671442396
episode - 404/10000, accumulative_reward = 496853.2503586622
episode - 405/10000, accumulative_reward = 495648.78689376503
episode - 406/10000, accumulative_reward = 497638.7363874262
episode - 407/10000, accumulative_reward = 499311.19850767206
episode - 408/10000, accumulative_reward = 500983.6606279179
episode - 409/10000, accumulative_reward = 502327.34822178516
episode - 410/10000, accumulative_reward = 503999.810342031
episode - 411/10000, accumulative_reward = 505672.27246227686
episode - 412/10000, accumulative_reward = 505022.27246227686
episode - 413/10000, accumulative_reward = 511545.6221755564
episode - 414/10000, accumulative_reward = 511638.84178964957
episode - 415/10000, accumulative_reward = 514196.9307572366
episode - 416/10000, accumulative_reward = 515281.5515314878
episode - 417/10000, accumulative_reward = 515517.0880665906
episode - 418/10000, accumulative_reward = 516052.94497139554
episode - 419/10000, accumulative_reward = 516309.17332112254
episode - 420/10000, accumulative_reward = 519263.7501733262
episode - 421/10000, accumulative_reward = 520920.58314022067
episode - 422/10000, accumulative_reward = 522593.0452604665
episode - 423/10000, accumulative_reward = 524265.50738071237
episode - 424/10000, accumulative_reward = 525581.9686324663
episode - 425/10000, accumulative_reward = 526925.6562263335
episode - 426/10000, accumulative_reward = 528598.1183465794
episode - 427/10000, accumulative_reward = 530270.5804668253
episode - 428/10000, accumulative_reward = 531943.0425870712
episode - 429/10000, accumulative_reward = 532116.0107540726
episode - 430/10000, accumulative_reward = 533788.4728743185
episode - 431/10000, accumulative_reward = 535078.9200349579
episode - 432/10000, accumulative_reward = 536949.2460585253
episode - 433/10000, accumulative_reward = 538621.7081787712
episode - 434/10000, accumulative_reward = 540294.1702990171
episode - 435/10000, accumulative_reward = 541858.6115382027
episode - 436/10000, accumulative_reward = 543728.9375617701
episode - 437/10000, accumulative_reward = 545340.6563365407
episode - 438/10000, accumulative_reward = 547013.1184567866
episode - 439/10000, accumulative_reward = 548685.5805770325
episode - 440/10000, accumulative_reward = 550170.3235014942
episode - 441/10000, accumulative_reward = 551842.7856217402
episode - 442/10000, accumulative_reward = 553133.2327823796
episode - 443/10000, accumulative_reward = 553824.7249164808
episode - 444/10000, accumulative_reward = 555584.7754228197
episode - 445/10000, accumulative_reward = 557257.2375430656
episode - 446/10000, accumulative_reward = 558859.646953899
episode - 447/10000, accumulative_reward = 558835.8151277694
episode - 448/10000, accumulative_reward = 561673.0771578539
episode - 449/10000, accumulative_reward = 563345.5392780998
episode - 450/10000, accumulative_reward = 563666.572922338
episode - 451/10000, accumulative_reward = 562462.1094574408
episode - 452/10000, accumulative_reward = 562647.3458620518
episode - 453/10000, accumulative_reward = 565484.6078921363
