episode - 244/10000, loss = 127.86392974853516
episode - 245/10000, loss = 195.34002685546875
episode - 246/10000, loss = 58.35985565185547
episode - 247/10000, loss = 59.70147705078125
episode - 248/10000, loss = 275.7641296386719
episode - 249/10000, loss = 114.91474914550781
episode - 250/10000, loss = 13.640312194824219
episode - 251/10000, loss = 257.05609130859375
episode - 252/10000, loss = 179.16513061523438
episode - 253/10000, loss = 131.34959411621094
episode - 254/10000, loss = 154.60231018066406
episode - 255/10000, loss = 264.5229797363281
episode - 256/10000, loss = 20.908334732055664
episode - 257/10000, loss = 40.79066467285156
episode - 258/10000, loss = 38.53561782836914
episode - 259/10000, loss = 0.21909044682979584
episode - 260/10000, loss = 33.72248077392578
episode - 261/10000, loss = 14.01978874206543
episode - 262/10000, loss = 615.3706665039062
episode - 263/10000, loss = 2279.25537109375
episode - 264/10000, loss = 73.09765625
episode - 265/10000, loss = 5.736091136932373
episode - 266/10000, loss = 146.0031280517578
episode - 267/10000, loss = 870.7811279296875
episode - 268/10000, loss = 389.74810791015625
episode - 269/10000, loss = 782.849609375
episode - 270/10000, loss = 83.26813507080078
episode - 271/10000, loss = 169.60520935058594
episode - 272/10000, loss = 312.4680480957031
episode - 273/10000, loss = 113.69127655029297
episode - 274/10000, loss = 6.729053020477295
episode - 275/10000, loss = 1.495457410812378
episode - 276/10000, loss = 114.57264709472656
episode - 277/10000, loss = 9.604220390319824
episode - 278/10000, loss = 425.2793884277344
episode - 279/10000, loss = 179.44908142089844
episode - 280/10000, loss = 2.0247833728790283
episode - 281/10000, loss = 0.015363603830337524
episode - 282/10000, loss = 7.683620929718018
episode - 283/10000, loss = 61.757530212402344
episode - 284/10000, loss = 2075.34423828125
episode - 285/10000, loss = 0.5646965503692627
episode - 286/10000, loss = 1.6386409997940063
episode - 287/10000, loss = 47.056888580322266
episode - 288/10000, loss = 354.0072021484375
episode - 289/10000, loss = 566.5568237304688
episode - 290/10000, loss = 91.74727630615234
episode - 291/10000, loss = 35.78599548339844
episode - 292/10000, loss = 296.163330078125
episode - 293/10000, loss = 251.26229858398438
episode - 294/10000, loss = 513.0936889648438
episode - 295/10000, loss = 22.561376571655273
episode - 296/10000, loss = 12.369464874267578
episode - 297/10000, loss = 77.3069076538086
episode - 298/10000, loss = 421.73541259765625
episode - 299/10000, loss = 15.293021202087402
episode - 300/10000, loss = 33.99830627441406
episode - 301/10000, loss = 9.001670837402344
episode - 302/10000, loss = 37.54969787597656
episode - 303/10000, loss = 181.15975952148438
episode - 304/10000, loss = 1.9807590246200562
episode - 305/10000, loss = 0.3029315173625946
episode - 306/10000, loss = 383.7134094238281
episode - 307/10000, loss = 10.415875434875488
episode - 308/10000, loss = 486.159912109375
episode - 309/10000, loss = 25.08697509765625
episode - 310/10000, loss = 780.3907470703125
episode - 311/10000, loss = 5160.32421875
episode - 312/10000, loss = 42.20282745361328
episode - 313/10000, loss = 502.5732727050781
episode - 314/10000, loss = 37.30686950683594
episode - 315/10000, loss = 691.5282592773438
episode - 316/10000, loss = 5.520305633544922
episode - 317/10000, loss = 2.839409589767456
episode - 318/10000, loss = 54.20240783691406
episode - 319/10000, loss = 79.57943725585938
episode - 320/10000, loss = 128.48963928222656
episode - 321/10000, loss = 46.98714828491211
episode - 322/10000, loss = 67.24739837646484
episode - 323/10000, loss = 18.064672470092773
episode - 324/10000, loss = 1229.9139404296875
episode - 325/10000, loss = 197.71839904785156
episode - 326/10000, loss = 0.9019868969917297
episode - 327/10000, loss = 1.4641070365905762
episode - 328/10000, loss = 0.7135854959487915
episode - 329/10000, loss = 702.9511108398438
episode - 330/10000, loss = 2482.684326171875
episode - 331/10000, loss = 0.04568534344434738
episode - 332/10000, loss = 32.07719802856445
episode - 333/10000, loss = 372.96734619140625
episode - 334/10000, loss = 681.8181762695312
episode - 335/10000, loss = 7.356960773468018
episode - 336/10000, loss = 61.523353576660156
episode - 337/10000, loss = 0.008130956441164017
episode - 338/10000, loss = 9.15735149383545
episode - 339/10000, loss = 487.0540771484375
episode - 340/10000, loss = 6.334781169891357
episode - 341/10000, loss = 518.5928955078125
episode - 342/10000, loss = 12.901805877685547
episode - 343/10000, loss = 5257.0927734375
episode - 344/10000, loss = 379.33404541015625
episode - 345/10000, loss = 419.57977294921875
episode - 346/10000, loss = 442.83319091796875
episode - 347/10000, loss = 89.16788482666016
episode - 348/10000, loss = 83.93278503417969
episode - 349/10000, loss = 3.3692100048065186
episode - 350/10000, loss = 470.2618713378906
episode - 351/10000, loss = 33.26691436767578
episode - 352/10000, loss = 6641.59814453125
episode - 353/10000, loss = 444.6473388671875
episode - 354/10000, loss = 724.2462158203125
episode - 355/10000, loss = 43.026309967041016
episode - 356/10000, loss = 0.058124762028455734
episode - 357/10000, loss = 36.32252883911133
episode - 358/10000, loss = 192.00018310546875
episode - 359/10000, loss = 169.79568481445312
episode - 360/10000, loss = 990.7826538085938
episode - 361/10000, loss = 225.68304443359375
episode - 362/10000, loss = 312.45611572265625
episode - 363/10000, loss = 191.3353271484375
episode - 364/10000, loss = 0.8036568760871887
episode - 365/10000, loss = 91.95621490478516
episode - 366/10000, loss = 239.0095672607422
episode - 367/10000, loss = 64.2708511352539
episode - 368/10000, loss = 20.034488677978516
episode - 369/10000, loss = 180.53868103027344
episode - 370/10000, loss = 102.64420318603516
episode - 371/10000, loss = 14.887282371520996
episode - 372/10000, loss = 187.27236938476562
episode - 373/10000, loss = 67.15533447265625
episode - 374/10000, loss = 5.282892227172852
episode - 375/10000, loss = 440.74273681640625
episode - 376/10000, loss = 480.2452087402344
episode - 377/10000, loss = 568.0613403320312
episode - 378/10000, loss = 525.8786010742188
episode - 379/10000, loss = 6.5864410400390625
episode - 380/10000, loss = 93.49115753173828
episode - 381/10000, loss = 184.56919860839844
episode - 382/10000, loss = 224.00706481933594
episode - 383/10000, loss = 10.234756469726562
episode - 384/10000, loss = 3.6081795692443848
episode - 385/10000, loss = 620.0563354492188
episode - 386/10000, loss = 319.9097900390625
episode - 387/10000, loss = 7.4900803565979
episode - 388/10000, loss = 155.7825469970703
episode - 389/10000, loss = 277.1159973144531
episode - 390/10000, loss = 67.8515853881836
episode - 391/10000, loss = 169.01983642578125
episode - 392/10000, loss = 4.840658187866211
episode - 393/10000, loss = 26.09569549560547
episode - 394/10000, loss = 179.69480895996094
episode - 395/10000, loss = 171.28733825683594
episode - 396/10000, loss = 6.0468573570251465
episode - 397/10000, loss = 484.0616149902344
episode - 398/10000, loss = 49.49165344238281
episode - 399/10000, loss = 336.9985046386719
episode - 400/10000, loss = 84.78559875488281
episode - 401/10000, loss = 558.4862060546875
episode - 402/10000, loss = 108.08403015136719
episode - 403/10000, loss = 147.40524291992188
episode - 404/10000, loss = 0.22467145323753357
episode - 405/10000, loss = 185.6340789794922
episode - 406/10000, loss = 0.060869500041007996
episode - 407/10000, loss = 36.96104049682617
episode - 408/10000, loss = 6037.2265625
episode - 409/10000, loss = 132.47918701171875
episode - 410/10000, loss = 0.12183094024658203
episode - 411/10000, loss = 396.165771484375
episode - 412/10000, loss = 1453.44091796875
episode - 413/10000, loss = 103.34678649902344
episode - 414/10000, loss = 347.7255859375
episode - 415/10000, loss = 3466.57568359375
episode - 416/10000, loss = 66.19520568847656
episode - 417/10000, loss = 187.3812255859375
episode - 418/10000, loss = 627.2484741210938
episode - 419/10000, loss = 69.52538299560547
episode - 420/10000, loss = 539.1769409179688
episode - 421/10000, loss = 3878.469970703125
episode - 422/10000, loss = 1349.7332763671875
episode - 423/10000, loss = 67.03433227539062
episode - 424/10000, loss = 27.001876831054688
episode - 425/10000, loss = 12.312223434448242
episode - 426/10000, loss = 20.29128074645996
episode - 427/10000, loss = 155.35018920898438
episode - 428/10000, loss = 23.63994789123535
episode - 429/10000, loss = 127.16260528564453
episode - 430/10000, loss = 482.4042663574219
episode - 431/10000, loss = 533.6839599609375
episode - 432/10000, loss = 32.90445327758789
episode - 433/10000, loss = 272.82208251953125
episode - 434/10000, loss = 5.608912467956543
episode - 435/10000, loss = 17.061241149902344
episode - 436/10000, loss = 247.40252685546875
episode - 437/10000, loss = 19.540599822998047
episode - 438/10000, loss = 6.10952091217041
episode - 439/10000, loss = 7.486082553863525
episode - 440/10000, loss = 3.5598480701446533
episode - 441/10000, loss = 97.51494598388672
episode - 442/10000, loss = 9685.5302734375
episode - 443/10000, loss = 6.6831769943237305
